timestamp,x,y,yaw
1779877115.354871750,0.840815,2.971714,2.202062
1779877116.134795427,0.866280,3.002774,2.211696
1779877116.174737692,0.868787,3.004764,2.213146
1779877116.294795752,0.880621,3.009443,2.216352
1779877116.434759855,0.890006,3.012243,2.218772
1779877118.414190054,0.819908,2.883313,2.203312
1779877118.914080620,0.808578,2.840042,2.195528
1779877119.294146299,0.770789,2.847444,2.188050
1779877119.374027014,0.761862,2.852116,2.186770
1779877119.713910818,0.723049,2.876044,2.181629
1779877119.853924990,0.709901,2.880557,2.179794
1779877120.313898087,0.675516,2.872338,2.171931
1779877120.353851318,0.675516,2.872338,2.171931
1779877120.673820257,0.644675,2.847980,2.166371
1779877121.153586388,0.593235,2.833699,2.157822
1779877121.413510084,0.555101,2.831654,2.150201
1779877121.473592758,0.555935,2.832200,2.150201
1779877121.633557320,0.521968,2.831221,2.143596
1779877121.853436708,0.441926,2.832637,2.130870
1779877123.593208313,-0.181910,2.702726,2.017150
1779877123.673067093,-0.218781,2.697870,2.011102
1779877124.052982807,-0.349619,2.697008,1.990002
1779877124.332979202,-0.516487,2.684991,1.963107
1779877124.452849865,-0.575896,2.686269,1.953174
1779877124.492937088,-0.637715,2.687021,1.943081
1779877124.572842836,-0.637715,2.687021,1.943081
1779877125.132679701,-0.938136,2.708776,1.894629
1779877125.572679758,-1.083734,2.728777,1.871817
1779877125.592650652,-1.099620,2.726337,1.869031
1779877125.752627611,-1.114966,2.722437,1.866149
1779877126.412425041,-1.183697,2.717263,1.852667
1779877126.612414598,-1.188992,2.721136,1.852287
1779877126.632387400,-1.188992,2.721136,1.852287
1779877127.092254162,-1.046147,2.695304,1.870922
1779877127.432325840,-0.953627,2.665517,1.884853
1779877127.672258615,-0.883917,2.642291,1.896073
1779877128.312098026,-0.440447,2.572980,1.964727
1779877128.632006645,-0.159638,2.582648,2.008379
1779877128.891900063,0.145533,2.612400,2.055389
1779877129.071884155,0.356413,2.613224,2.086557
1779877129.291817665,0.581234,2.621137,2.118849
1779877129.491797686,1.142638,2.867476,2.151100
1779877129.611850500,0.900906,2.663375,2.167024
1779877130.491635323,1.904583,3.048062,2.329117
1779877130.851536274,2.256028,3.192718,2.385737
1779877130.891481876,2.379182,3.238337,2.405481
1779877130.911474466,2.379182,3.238337,2.405481
1779877131.311394691,2.913419,3.490295,2.489806
1779877131.631357670,3.280539,3.735953,2.550497
1779877131.751422644,3.385365,3.812611,2.568710
1779877131.771369219,3.385365,3.812611,2.568710
1779877131.911217451,3.570913,3.951682,2.601969
1779877132.011294365,3.653296,4.014830,2.617037
1779877132.231190205,3.797830,4.131154,2.643931
1779877132.551187515,3.971410,4.280210,2.676965
1779877132.731121540,4.029543,4.331988,2.688157
1779877133.111066818,4.070366,4.372129,2.696127
1779877133.450896740,172.024362,361.923686,2.702491
1779877133.610912561,4.074411,4.316122,2.706911
1779877134.190725327,4.190490,4.493520,2.719338
1779877134.230864525,4.190490,4.493520,2.719338
1779877134.650652170,-16.768783,13.778299,2.726648
1779877134.870602131,4.244748,4.542393,2.729828
1779877135.530528784,4.345044,4.640870,2.750755
1779877135.890394688,4.312514,4.616301,2.744265
1779877135.950490475,4.254361,4.640705,2.744265
1779877136.130447865,4.306849,4.609063,2.742795
1779877136.750322104,4.121077,4.425424,2.707020
1779877137.050228119,3.963129,4.317695,2.685044
1779877137.390032530,3.786984,4.128856,2.646844
1779877137.710086584,3.618292,4.012643,2.613155
1779877138.129938126,3.312823,3.845773,2.560564
1779877139.349739790,1.809590,3.131091,2.328673
1779877139.429680586,1.664631,3.078682,2.307331
1779877139.449643850,1.664631,3.078682,2.307331
1779877140.029604673,0.793195,2.791809,2.177640
1779877140.049579620,0.794552,2.792751,2.177640
