timestamp,x,y,yaw
1779877089.531296253,0.320141,2.716974,1.571439
1779877089.551312923,0.320141,2.716974,1.571441
1779877089.571252823,0.322039,2.717420,1.571821
1779877089.591251373,0.322039,2.717420,1.571851
1779877089.611244917,0.322039,2.717420,1.571844
1779877089.631242752,0.322039,2.717420,1.571820
1779877089.651243687,0.322039,2.717420,1.571816
1779877089.671209335,0.323642,2.717741,1.572025
1779877089.691203356,0.323642,2.717741,1.571972
1779877089.711199760,0.323642,2.717741,1.571978
1779877089.731165409,0.323642,2.717741,1.571988
1779877089.751177311,0.323642,2.717741,1.571991
1779877089.771131039,0.324461,2.718222,1.572110
1779877089.791124105,0.324461,2.718222,1.572112
1779877089.811095476,0.324461,2.718222,1.572128
1779877089.831106901,0.324461,2.718222,1.572144
1779877089.851233006,0.324461,2.718222,1.572148
1779877089.871211767,0.324164,2.718679,1.572153
1779877089.891202211,0.324164,2.718679,1.572114
1779877089.911168575,0.324164,2.718679,1.572106
1779877089.931148529,0.324164,2.718679,1.572122
1779877089.951137543,0.324164,2.718679,1.572136
1779877089.971106768,0.323108,2.719249,1.571998
1779877089.991117239,0.323108,2.719249,1.571988
1779877090.011041641,0.323108,2.719249,1.571967
1779877090.031046867,0.323108,2.719249,1.571968
1779877090.051188946,0.323108,2.719249,1.571962
1779877090.071154356,0.321952,2.719781,1.571879
1779877090.091135502,0.321952,2.719781,1.571881
1779877090.111093760,0.321952,2.719781,1.571862
1779877090.131091118,0.321952,2.719781,1.571880
1779877090.151076794,0.321952,2.719781,1.571914
1779877090.171031475,0.321281,2.720266,1.571984
1779877090.191005945,0.321281,2.720266,1.571964
1779877090.211145401,0.321281,2.720266,1.571963
1779877090.231116295,0.321281,2.720266,1.571993
1779877090.251092196,0.321281,2.720266,1.571941
1779877090.271083593,0.321281,2.720266,1.571953
1779877090.291057110,0.320635,2.720928,1.571889
1779877090.311038256,0.320635,2.720928,1.571890
1779877090.330994844,0.320635,2.720928,1.571924
1779877090.350988388,0.320635,2.720928,1.571943
1779877090.370954990,0.320635,2.720928,1.571893
1779877090.391106129,0.319599,2.721503,1.571775
1779877090.411072254,0.319599,2.721503,1.571794
1779877090.431072235,0.319599,2.721503,1.571798
1779877090.451035500,0.319599,2.721503,1.571770
1779877090.471008778,0.319599,2.721503,1.571776
1779877090.491000414,0.319012,2.721956,1.571628
1779877090.510969639,0.319012,2.721956,1.571606
1779877090.530944347,0.319012,2.721956,1.571602
1779877090.550915480,0.319012,2.721956,1.571583
1779877090.571057320,0.319012,2.721956,1.571589
1779877090.591032982,0.319118,2.722229,1.571656
1779877090.610995054,0.319118,2.722229,1.571623
1779877090.631000996,0.319118,2.722229,1.571600
1779877090.650969028,0.319118,2.722229,1.571589
1779877090.670931816,0.319118,2.722229,1.571622
1779877090.690930128,0.318986,2.722384,1.571532
1779877090.710892677,0.318986,2.722384,1.571487
1779877090.730895519,0.318986,2.722384,1.571483
1779877090.750861168,0.318986,2.722384,1.571465
1779877090.771006823,0.318986,2.722384,1.571505
1779877090.790982723,0.319243,2.722428,1.571486
1779877090.810943842,0.319243,2.722428,1.571471
1779877090.830924273,0.319243,2.722428,1.571442
1779877090.850914955,0.319243,2.722428,1.571428
1779877090.870905638,0.319421,2.722321,1.571346
1779877090.890887976,0.319421,2.722321,1.571362
1779877090.910848856,0.319421,2.722321,1.571371
1779877090.930823565,0.319421,2.722321,1.571395
1779877090.950820446,0.319421,2.722321,1.571329
1779877090.970959663,0.320005,2.722022,1.571419
1779877090.990933180,0.320005,2.722022,1.571421
1779877091.010894537,0.320005,2.722022,1.571389
1779877091.030871868,0.320005,2.722022,1.571394
1779877091.050871372,0.320005,2.722022,1.571392
1779877091.070832729,0.320524,2.721523,1.571435
1779877091.090811253,0.320524,2.721523,1.571432
1779877091.110819101,0.320524,2.721523,1.571426
1779877091.130768538,0.320524,2.721523,1.571431
1779877091.150771379,0.320524,2.721523,1.571475
1779877091.170906782,0.320954,2.720817,1.571469
1779877091.190884352,0.320954,2.720817,1.571435
1779877091.210848808,0.320954,2.720817,1.571448
1779877091.230845690,0.320954,2.720817,1.571431
1779877091.250814676,0.320954,2.720817,1.571445
1779877091.270777702,0.321733,2.720325,1.571591
1779877091.290781021,0.321733,2.720325,1.571568
1779877091.310744762,0.321733,2.720325,1.571587
1779877091.330746174,0.321733,2.720325,1.571602
1779877091.350715399,0.321733,2.720325,1.571580
1779877091.370706797,0.322614,2.720039,1.571649
1779877091.390854120,0.322614,2.720039,1.571678
1779877091.410820484,0.322614,2.720039,1.571692
1779877091.430824757,0.322614,2.720039,1.571661
1779877091.450789452,0.322614,2.720039,1.571683
1779877091.470759392,0.322409,2.719892,1.571588
1779877091.490729570,0.322409,2.719892,1.571608
1779877091.510721445,0.322409,2.719892,1.571622
1779877091.530722618,0.322409,2.719892,1.571654
1779877091.550693750,0.322409,2.719892,1.571673
1779877091.570660114,0.322637,2.719809,1.571743
1779877091.590649128,0.322637,2.719809,1.571772
1779877091.610800505,0.322637,2.719809,1.571805
1779877091.630776644,0.322637,2.719809,1.571767
1779877091.650750875,0.322637,2.719809,1.571825
1779877091.670736551,0.322654,2.719887,1.571788
1779877091.690706253,0.322654,2.719887,1.571783
1779877091.710709810,0.322654,2.719887,1.571768
1779877091.730682135,0.322654,2.719887,1.571815
1779877091.750656843,0.322654,2.719887,1.571785
1779877091.770633698,0.322620,2.719996,1.571712
1779877091.790610790,0.322620,2.719996,1.571707
1779877091.810599327,0.322620,2.719996,1.571722
1779877091.830598593,0.322620,2.719996,1.571691
1779877091.850577593,0.322620,2.719996,1.571737
1779877091.870711803,0.322620,2.719996,1.571731
1779877091.890710592,0.322461,2.720091,1.571736
1779877091.910681963,0.322461,2.720091,1.571724
1779877091.930650949,0.322461,2.720091,1.571712
1779877091.950647831,0.322461,2.720091,1.571691
1779877091.970609188,0.322461,2.720091,1.571673
1779877091.990610123,0.322389,2.720122,1.571639
1779877092.010577917,0.322389,2.720122,1.571603
1779877092.030548811,0.322389,2.720122,1.571619
1779877092.050546169,0.322389,2.720122,1.571639
1779877092.070695639,0.322714,2.719866,1.571691
1779877092.090661764,0.322714,2.719866,1.571661
1779877092.110648870,0.322714,2.719866,1.571654
1779877092.130655766,0.322714,2.719866,1.571661
1779877092.150619745,0.322714,2.719866,1.571643
1779877092.170619965,0.322714,2.719866,1.571620
1779877092.190616369,0.322408,2.719686,1.571552
1779877092.210573673,0.322408,2.719686,1.571581
1779877092.230578184,0.322408,2.719686,1.571566
1779877092.250547886,0.322408,2.719686,1.571568
1779877092.270535231,0.322408,2.719686,1.571590
1779877092.290514708,0.322933,2.719526,1.571767
1779877092.310497522,0.322933,2.719526,1.571737
1779877092.330485106,0.322933,2.719526,1.571729
1779877092.350447893,0.322933,2.719526,1.571691
1779877092.370610476,0.322933,2.719526,1.571696
1779877092.390589952,0.323455,2.719831,1.571822
1779877092.410571575,0.323455,2.719831,1.571778
1779877092.430553913,0.323455,2.719831,1.571782
1779877092.450541258,0.323455,2.719831,1.571779
1779877092.470508575,0.324142,2.720531,1.571908
1779877092.490507603,0.324142,2.720531,1.571860
1779877092.510473967,0.324142,2.720531,1.571867
1779877092.530473709,0.324142,2.720531,1.571919
1779877092.550451994,0.324142,2.720531,1.571914
1779877092.570435047,0.325388,2.721468,1.572156
1779877092.590415239,0.325388,2.721468,1.572157
1779877092.610407591,0.325388,2.721468,1.572129
1779877092.630401611,0.325388,2.721468,1.572134
1779877092.650365829,0.325388,2.721468,1.572147
1779877092.670515776,0.327164,2.722423,1.572487
1779877092.690507889,0.327164,2.722423,1.572498
1779877092.710480213,0.327164,2.722423,1.572512
1779877092.730478048,0.327164,2.722423,1.572545
1779877092.750444889,0.327164,2.722423,1.572579
1779877092.770437717,0.327945,2.723166,1.572691
1779877092.790413141,0.327945,2.723166,1.572669
1779877092.810396910,0.327945,2.723166,1.572537
1779877092.830375433,0.327945,2.723166,1.571838
1779877092.850349665,0.327945,2.723166,1.571596
1779877092.870343447,0.328579,2.723708,1.572314
1779877092.890312910,0.328579,2.723712,1.572536
1779877092.910308123,0.328579,2.723718,1.572630
1779877092.930450916,0.328579,2.723726,1.572967
1779877092.950440884,0.328579,2.723736,1.572944
1779877092.970412731,0.328109,2.724018,1.572590
1779877092.990385294,0.328109,2.724028,1.572433
1779877093.010371447,0.328109,2.724038,1.572458
1779877093.030355692,0.328109,2.724048,1.572476
1779877093.050352097,0.328109,2.724058,1.572557
1779877093.070312738,0.327467,2.724246,1.572710
1779877093.090309620,0.327467,2.724248,1.572756
1779877093.110275507,0.327467,2.724246,1.572737
1779877093.130281210,0.327467,2.724240,1.572614
1779877093.150246143,0.327467,2.724230,1.572588
1779877093.170236349,0.325500,2.724318,1.572391
1779877093.190387487,0.325500,2.724308,1.572312
1779877093.210376740,0.325500,2.724298,1.572428
1779877093.230358124,0.325500,2.724288,1.572575
1779877093.250316143,0.325500,2.724278,1.572504
1779877093.270312309,0.324624,2.724266,1.572428
1779877093.290290833,0.324624,2.724260,1.572499
1779877093.310250759,0.324624,2.724256,1.572488
1779877093.330251932,0.324624,2.724253,1.572401
1779877093.350220680,0.324624,2.724253,1.572434
1779877093.370211601,0.323772,2.724413,1.572574
1779877093.390182018,0.323772,2.724413,1.572595
1779877093.410176754,0.323772,2.724413,1.572505
1779877093.430333853,0.323772,2.724413,1.572436
1779877093.450303078,0.323772,2.724413,1.572467
