# index filename x y z qw qx qy qz
62 62.pcd 15.2258 0.297418 -0.0212769 0.999973 -0.000922179 -0.00569556 -0.00445337
63 63.pcd 15.7306 0.29101 -0.021667 0.99997 -0.000265137 -0.00592623 -0.00505171
64 64.pcd 16.231 0.287806 -0.0233962 0.999963 -0.000683226 -0.00552305 -0.00658862
65 65.pcd 16.733 0.286793 -0.025214 0.999932 -0.000836508 -0.00868024 -0.00779115
66 66.pcd 17.2365 0.277133 -0.0250641 0.999935 -0.00144903 -0.0065477 -0.00922501
67 67.pcd 17.7368 0.280655 -0.0252272 0.999964 -0.0010355 -0.00685427 0.00488002
68 68.pcd 18.2479 0.289067 -0.0257103 0.999952 -0.00112162 -0.00739983 0.00630669
69 69.pcd 18.7504 0.294393 -0.0252659 0.999954 -0.00103117 -0.00833674 0.00470237
70 70.pcd 19.2673 0.299419 -0.0254535 0.999956 -0.000571482 -0.00854973 0.00379753
71 71.pcd 19.7678 0.302987 -0.0253292 0.999958 -0.000137855 -0.00867419 0.00308916
72 72.pcd 20.277 0.303201 -0.0264919 0.999962 -0.000425375 -0.00835724 0.00230298
73 73.pcd 20.7965 0.308331 -0.0267299 0.999965 -5.82568e-05 -0.0082378 0.00127905
74 74.pcd 21.3158 0.312153 -0.0276848 0.999969 -0.00117556 -0.0077861 0.000240451
75 75.pcd 21.8296 0.315266 -0.0267411 0.999933 -0.00176475 -0.00944137 -0.00651176
76 76.pcd 22.3349 0.302217 -0.0272036 0.999907 -0.00228244 -0.0097716 -0.009253
77 77.pcd 22.8532 0.29181 -0.0280841 0.999902 -0.0026484 -0.00977168 -0.00967752
78 78.pcd 23.3638 0.283997 -0.0296577 0.999882 -0.00253311 -0.0100697 -0.0113576
79 79.pcd 23.8813 0.272563 -0.0304789 0.999851 -0.0030337 -0.0110173 -0.0129665
80 80.pcd 24.3991 0.26221 -0.027973 0.999928 -0.00266237 -0.00963853 -0.00660648
81 81.pcd 24.9242 0.274576 -0.0269177 0.999923 -0.00274373 -0.00928704 0.00779953
82 82.pcd 25.4388 0.282459 -0.0263105 0.999909 -0.00359353 -0.00995442 0.00831165
83 83.pcd 25.9491 0.284755 -0.024518 0.999932 -0.00326508 -0.0108326 -0.00275978
84 84.pcd 26.4512 0.283163 -0.0233519 0.999931 -0.00344392 -0.0103111 -0.00447144
85 85.pcd 26.9588 0.279831 -0.0235783 0.999916 -0.00384165 -0.0110855 -0.00554558
