# index filename x y z qw qx qy qz
0 0.pcd -2.07e-05 2.41527e-05 0.000724846 0.999993 0.00313178 -0.00224741 5.53526e-06
1 1.pcd 1.99684 -2.3059 -0.00277533 0.624233 -0.00154174 -0.00462853 -0.781223
2 2.pcd 2.26497 2.1638 0.0181447 0.999702 -0.00048836 -0.00343518 -0.0241434
3 3.pcd -0.494272 3.7462 0.0175691 0.698054 0.000509041 -0.00274338 0.716039
4 4.pcd -0.703462 6.75941 0.0141592 0.655263 0.00423725 5.58259e-06 0.755389
5 5.pcd -0.830887 9.77036 0.0164057 0.563135 0.006148 -0.00331666 0.826335
6 6.pcd -1.10532 13.2523 0.00994381 0.695913 -0.00113365 -0.000863572 0.718125
7 7.pcd -1.05641 16.2521 0.000196358 0.885371 -0.00085138 -0.00767405 0.464822
